artist_name,track_name,genre,lyrics
The Goo Goo Dolls,Iris,rock,"And I'd give up forever to touch you 'Cause I know that you feel me somehow You're the closest to heaven that I'll ever be And I don't wanna go home right now And all I could taste is this moment And all I can breathe is your life And sooner or later, it's over I just don't wanna miss you tonight And I don't want the world to see me 'Cause I don't think that they'd understand When everything's made to be broken I just want you to know who I am And you can't fight the tears that ain't coming Or the moment of truth in your lies When everything feels like the movies Yeah, you bleed just to know you're alive See The Goo Goo Dolls LiveGet tickets as low as $47You might also like And I don't want the world to see me 'Cause I don't think that they'd understand When everything's made to be broken I just want you to know who I am And I don't want the world to see me 'Cause I don't think that they'd understand When everything's made to be broken I just want you to know who I am And I don't want the world to see me 'Cause I don't think that they'd understand When everything's made to be broken I just want you to know who I am I just want you to know who I am I just want you to know who I am I just want you to know who I am"
The Black Keys,Lonely Boy,rock,"Well, I'm so above you and it's plain to see But I came to love you anyway So you pulled my heart out and I don't mind bleedin' Any old time you keep me waitin', waitin', waitin' Oh, oh, oh, oh I got a love that keeps me waiting Oh, oh, oh I got a love that keeps me waiting I'm a lonely boy I'm a lonely boy Oh, oh, oh, oh I got a love that keeps me waiting Well, your mama kept you, but your daddy left you And I shoulda done you just the same But I came to love you, am I born to bleed? Any old time you keep me waitin', waitin', waitin' Oh, oh, oh, oh I got a love that keeps me waiting Oh, oh, oh I got a love that keeps me waiting I'm a lonely boy I'm a lonely boy Oh, oh, oh, oh I got a love that keeps me waiting (Hey) See The Black Keys LiveGet tickets as low as $83You might also like Oh, oh, oh, oh I got a love that keeps me waiting Oh, oh, oh I got a love that keeps me waiting I'm a lonely boy I'm a lonely boy Oh, oh, oh, oh I got a love that keeps me waiting"
Eagles,Take It Easy,rock,"Well, I'm running down the road tryin' to loosen my load I've got seven women on my mind Four that wanna own me, two that wanna stone me One says she's a friend of mine Take It easy, take it easy Don't let the sound of your own wheels drive you crazy Lighten up while you still can Don't even try to understand Just find a place to make your stand and take it easy Well, I'm a standing on a corner in Winslow, Arizona And such a fine sight to see It's a girl, my Lord, in a flatbed Ford Slowin' down to take a look at me Come on, baby, don't say maybe I gotta know if your sweet love is gonna save me We may lose, and we may win Though we will never be here again So open up, I'm climbin' in So take it easy"
The Rembrandts,I'll Be There for You,rock,"So no one told you life was gonna be this way Your job's a joke, you're broke, your love life's D.O.A. It's like you're always stuck in second gear When it hasn't been your day, your week Your month, or even your year, but I'll be there for you (When the rain starts to pour) I'll be there for you (Like I've been there before) I'll be there for you ('Cause you're there for me too) You're still in bed at ten and work began at eight You've burned your breakfast, so far things are goin' great Your mother warned you there'd be days like these But she didn't tell you when the world has brought You down to your knees that I'll be there for you (When the rain starts to pour) I'll be there for you (Like I've been there before) I'll be there for you ('Cause you're there for me too)"
Matchbox Twenty,3AM,rock,"She said, ""It's cold outside, "" and she hands me my raincoat She's always worried about things like that Well, she said, ""It's all gonna end and it might as well be my fault"" And she only sleeps when it's raining And she screams, and her voice is straining She says, ""Baby, it's 3 AM, I must be lonely"" And she says, ""Baby, well, I can't help But be scared of it all sometimes And the rain's gonna wash away, I believe it"" Well, she's got a little bit of something, God, it's better than nothing And in her color portrait world, she believes that she's got it all She swears the moon don't hang quite as high as it used to And she only sleeps when it's raining And she screams (screams) and her voice is straining She says, ""Baby, well, it's 3 AM, I must be lonely"" Well, heaven she says, ""Baby, yeah, well, I can't help But be scared of it all sometimes And the rain's gonna wash away, I believe this"" Well, she believes that life isn't made up of all that you're used to And the clock on the wall has been stuck at 3 for days and days She thinks that happiness is a mat that sits on her doorway But outside, it's stopped raining She says, ""Baby, well, it's 3 AM, I must be lonely"" Heaven, she says, ""Baby, yeah, well, I can't help But be scared of it all sometimes And the rain's gonna wash away, I believe this"" Well, it's 3 AM, I must be lonely (I must be lonely) Well, heaven, she says, ""Baby, well, I can't help But be scared of it all sometimes"""
Led Zeppelin,Stairway to Heaven,rock,"There's a lady who's sure all that glitters is gold And she's buying a stairway to Heaven When she gets there she knows if the stores are all closed With a word she can get what she came for Ooh-ooh, ooh-ooh, and she's buying a stairway to Heaven There's a sign on the wall, but she wants to be sure 'Cause you know sometimes words have two meanings In a tree by the brook, there's a songbird who sings Sometimes all of our thoughts are misgiven Ooh, it makes me wonder Ooh, makes me wonder There's a feeling I get when I look to the West And my spirit is crying for leaving In my thoughts I have seen rings of smoke through the trees And the voices of those who stand looking Ooh, it makes me wonder Ooh, really makes me wonder"
Fleetwood Mac,Don't Stop,rock,"If you wake up and don't wanna smile If it takes just a little while Open your eyes and look at the day You'll see things in a different way Don't stop thinkin' about tomorrow Don't stop, it'll soon be here It'll be better than before Yesterday's gone, yesterday's gone Why not think about times to come And not about the things that you've done? If your life was bad to you Just think what tomorrow will do Don't stop thinkin' about tomorrow Don't stop, it'll soon be here It'll be better than before Yesterday's gone, yesterday's gone"
David Bowie,Rebel Rebel,rock,"Doo doo doo-doo doo doo-doo doo Doo doo doo-doo doo doo-doo doo Doo doo doo-doo doo doo-doo doo You've got your mother in a whirl She's not sure if you're a boy or a girl Hey, babe, your hair's alright Hey, babe, let's go out tonight You like me and I like it all We like dancing and we look divine You love bands when they're playing hard You want more and you want it fast They put you down, they say I'm wrong You tacky thing, you put them on Rebel Rebel, you've torn your dress Rebel Rebel, your face is a mess Rebel Rebel, how could they know? Hot tramp, I love you so {Bridge} Don't ya? Doo doo doo-doo doo doo-doo doo"
Red Hot Chili Peppers,Under the Bridge,rock,"Sometimes I feel like I don't have a partner Sometimes I feel like my only friend Is the city I live in, The City of Angels Lonely as I am, together we cry I drive on her streets 'cause she's my companion I walk through her hills 'cause she knows who I am She sees my good deeds and she kisses me windy Well, I never worry, now that is a lie I don't ever wanna feel like I did that day Take me to the place I love, take me all the way I don't ever wanna feel like I did that day Take me to the place I love, take me all the way Yeah, yeah, yeah It's hard to believe that there's nobody out there It's hard to believe that I'm all alone At least I have her love, the city she loves me Lonely as I am, together we cry"
blink-182,All The Small Things,rock,"All the small things True care, truth brings I'll take one lift Your ride, best trip Always, I know You'll be at my show Watching, waiting Commiserating Say it ain't so, I will not go Turn the lights off, carry me home Na-na, na-na, na-na, na-na, na, na Na-na, na-na, na-na, na-na, na, na Na-na, na-na, na-na, na-na, na, na Na-na, na-na, na-na, na-na, na, na Late night, come home Work sucks, I know She left me roses by the stairs Surprises let me know she cares"
Fleetwood Mac,Dreams,rock,"(Mmm) Now, here you go again You say you want your freedom Well, who am I to keep you down? It's only right that you should Play the way you feel it But listen carefully to the sound Of your loneliness Like a heartbeat drives you mad (Heartbeat) In the stillness of rememberin' (Stillness) What you had and what you lost (Lonely, ooh) And what you had and what you lost (Ooh, ooh) Oh, thunder only happens when it's rainin' Players only love you when they're playing Say, ""Women, they will come and they will go"" When the rain washes you clean, you'll know You'll know"
Green Day,Basket Case,rock,"Do you have the time to listen to me whine About nothin' and everything all at once? I am one of those melodramatic fools Neurotic to the bone, no doubt about it Sometimes, I give myself the creeps Sometimes, my mind plays tricks on me It all keeps adding up I think I'm cracking up Am I just paranoid? Am I just stoned? I went to a shrink to analyze my dreams She says it's lack of sex that's bringin' me down I went to a whore, he said my life's a bore So quit my whinin' 'cause it's bringin' her down Sometimes, I give myself the creeps Sometimes, my mind plays tricks on me It all keeps adding up I think I'm cracking up Am I just paranoid? Uh-yuh-yuh-yuh (Ooh, ooh) See Green Day LiveGet tickets as low as $92You might also like Grasping to control So I better hold on Sometimes, I give myself the creeps Sometimes, my mind plays tricks on me It all keeps adding up I think I'm cracking up Am I just paranoid? Am I just stoned?"
Deep Purple,Smoke on the Water,rock,We all came out to Montreux On the Lake Geneva shoreline To make records with a mobile We didn't have much time But Frank Zappa and the Mothers Were at the best place around But some stupid with a flare gun Burned the place to the ground Smoke on the water And fire in the sky Smoke on the water They burned down the gambling house It died with an awful sound Funky Claude was running in and out Pulling kids out the ground When it all was over We had to find another place But Swiss time was running out It seemed that we would lose the race
U2,Beautiful Day,rock,"The heart is a bloom, shoots up through the stony ground There's no room, no space to rent in this town You're out of luck, and the reason that you had to care The traffic is stuck, and you're not moving anywhere You thought you'd found a friend to take you out of this place Someone you could lend a hand in return for grace It's a beautiful day Sky falls, you feel like It's a beautiful day Don't let it get away You're on the road, but you've got no destination You're in the mud, in the maze of her imagination You love this town even if that doesn't ring true You've been all over, and it's been all over you It's a beautiful day Don't let it get away It's a beautiful day Ooh-hoo-hoo"
Linkin Park,The Emptiness Machine,rock,"Your blades are sharpened with precision Flashing your favorite point of view I know you're waiting in the distance Just like you always do, just like you always do Already pulling me in Already under my skin And I know exactly how this ends, I Let you cut me open just to watch me bleed Gave up who I am for who you wanted me to be Don't know why I'm hopin' for what I won't receive Fallin' for the promise of the emptiness machine The emptiness machine Goin' around like a revolver It's been decided how we lose 'Cause there's a fire under the altar I keep on lyin' to, I keep on lyin' to Already pulling me in Already under my skin And I know exactly how this ends, I See Linkin Park LiveGet tickets as low as $78You might also like Let you cut me open just to watch me bleed Gave up who I am for who you wanted me to be Don't know why I'm hopin' for what I won't receive Fallin' for the promise of the emptiness machine I only wanted to be part of something I only wanted to be part of, part of I only wanted to be part of something I only wanted to be part of, part of I only wanted to be part of something I only wanted to be part I let you cut me open just to watch me bleed Gave up who I am for who you wanted me to be Don't know why I'm hopin', so fuckin' naive Fallin' for the promise of the emptiness machine The emptiness machine (I only wanted to be part of something) The emptiness machine, oh (I only wanted to be part of) The emptiness machine"
Prince,Kiss,rock,"Uh! You don't have to be beautiful to turn me on I just need your body, baby, from dusk 'til dawn You don't need experience to turn me out You just leave it all up to me, I'm gonna show you what it's all about You don't have to be rich to be my girl You don't have to be cool to rule my world Ain't no particular sign I'm more compatible with I just want your extra time and your kiss You got to not talk dirty, baby, if you wanna impress me You can't be too flirty, mama, I know how to undress me, yeah I want to be your fantasy, maybe you could be mine You just leave it all up to me, we could have a good time, oh You don't have to be rich to be my girl You don't have to be cool to rule my world Ain't no particular sign I'm more compatible with I just want your extra time and your kiss"
Muse,Uprising,rock,"(So come on) Paranoia is in bloom The PR transmissions will resume They'll try to push drugs that keep us all dumbed down And hope that we will never see the truth around (So come on) Another promise, another seed Another packaged lie to keep us trapped in greed And all the green belts wrapped around our minds And endless red tape to keep the truth confined (So come on) They will not force us They will stop degrading us They will not control us And we will be victorious (So come on) Interchanging mind control Come let the revolution take its toll If you could flick a switch and open your third eye You'd see that we should never be afraid to die (So come on) Rise up and take the power back It's time the fat cats had a heart attack You know that their time's coming to an end We have to unify and watch our flag ascend (So come on)"
Choirboys,Run to Paradise,rock,"5 ContributorsRun to Paradise LyricsBaby, you were always gonna be the one You only ever did it just for fun But you run to paradise Jenny, I'll meet you at the grocery store You don't need a friend when you can score You run to paradise Johnny We were always best of friends Stick together and defend But you run to paradise And Mamma, now don't you worry 'bout me anymore And I see you crying at the door When I run to paradise That's right, they had it all worked out You were young and blonde and you could never do wrong That's right, they were so surprised You opened their eyes up (opened their eyes up) Opened their eyes up You don't want anyone (You don't, you don't, open your eyes up) You don't want anyone (You don't, your no fool) Don't tell me, this is paradise (Open your eyes up) You don't want anyone (You don't, open your eyes up) You don't want anyone (You don't, your no fool) Don't tell me, this is paradise You might also likeGood times, why'd I let them slip away Why'd I let them slip away Cause I lived in paradise Run to paradise Run to paradise Run to paradise Jesus say's it's gonna be alright He's gonna pat my back so I can walk in the light (That's right !) You don't mind if I abuse myself So I can hold my head up (Hold my head up) Hold my head up You don't want anyone (You don't, hold your head up) You don't want anyone (You don't, your no fool) Don't tell me, this is paradise (Open your eyes up) You don't need anyone You don't need anyone (you don't) You'll tell me, this is paradise You don't want anyone (You don't, hold your head up) You don't want anyone (You don't, your no fool) You'll tell me, this is paradise (Open your eyes up) You don't need anyone You don't want anyone, (you don't) You'll tell me, this is paradiseEmbed"
Foo Fighters,Everlong,rock,"Hello, I've waited here for you Everlong Tonight, I throw myself into And out of the red, out of her head, she sang Do do do do do do dododo Do do do do do do dododo Do do do do do do do do Do do dododo Come down, and waste away with me Down with me Slow, how you wanted it to be I'm over my head, out of her head, she sang And I wonder When I sing along with you If everything could ever feel this real forever If anything could ever be this good again The only thing I'll ever ask of you You gotta promise not to stop when I say when She sang Do do do do do do dododo Do do do do do do dododo Do do do do do do do do Do do dododo Breathe out, so I can breathe you in Hold you in And now, I know you've always been Out of your head, out of my head, I sang And I wonder When I sing along with you If everything could ever feel this real forever If anything could ever be this good again The only thing I'll ever ask of you You gotta promise not to stop when I say when She sang So, dad would take the Sundays off And that's the only time he could ever get any rest And so, because we were loud on Sundays He'd make us hold his construction boots over our head, 'til we'd sleep And they were really heavy boots and I used to say, ""Dad, come on, please"" And like start crying, 'cause they're too heavy"
Goanna,Solid Rock,rock,"Out here nothin' changes, not in a hurry anyway You can feel the endlessness, with the comin' of the light o' day We're talkin' 'bout a chosen place You wanna sell it in a marketplace? Well Well just a minute now You're standin' on solid rock You're standin' on sacred ground You're livin' on borrowed time And the winds of change Are blowin' down the line Right down the line Well, round about the dawn of time The dreamin' all began The crowd of people came Well, they were lookin' for their promised land"
Neil Young,Heart of Gold,rock,"I want to live, I want to give I've been a miner for a heart of gold It's these expressions I never give That keep me searchin' for a heart of gold And I'm getting old Keep me searchin' for a heart of gold And I'm getting old I've been to Hollywood, I've been to Redwood I crossed the ocean for a heart of gold I've been in my mind, it's such a fine line That keeps me searchin' for a heart of gold And I'm getting old Keeps me searchin' for a heart of gold And I'm getting old"
